item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
Alpinestars T-GP R V2 Waterproof Street Jacket-Black/White/Red-3XL		1006AX2J5WW	28204598		0	2023-10-06 06:52:23 PDT		y	1			11				B07GDBTKZ9						B07GDBTKZ9			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP Plus R V2 Waterproof Jacket (XXXX-LARGE) (BLACK/WHITE/RED)		1006AX56A8O	28204599		0	2023-10-06 06:52:23 PDT		y	1			11				B07GDBZQC4						B07GDBZQC4			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Waterproof Street Jacket-Black/Gray/Yellow Fluo-XL		1006AWWDM3R	28204603		0	2023-10-06 06:52:23 PDT		y	1			11				B07FR11JJR						B07FR11JJR			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Tailwind Air Waterproof Men's Street Motorcycle Jackets - Black/Small		1006AX1S196	28204847		0	2023-10-06 06:52:23 PDT		y	1			11				B07M5N7RNJ						B07M5N7RNJ			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Tailwind Air Waterproof Men's Street Motorcycle Jackets - Black/Medium		1006AWYH9UT	28204848		0	2023-10-06 06:52:23 PDT		y	1			11				B07M9DKZ3L						B07M9DKZ3L			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Tailwind Air Waterproof Men's Street Motorcycle Jackets - Black/Large		1006AX1YPGX	28204849		0	2023-10-06 06:52:23 PDT		y	1			11				B07MCZFP3V						B07MCZFP3V			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Tailwind Air Waterproof Men's Street Motorcycle Jackets - Black/X-Large		1006AX5RDUC	28204850		0	2023-10-06 06:52:23 PDT		y	1			11				B07M9DMTZC						B07M9DMTZC			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Tailwind Air Waterproof Men's Street Motorcycle Jackets - Black / 2X-Large		1006AWUEWH7	28204851		0	2023-10-06 06:52:23 PDT		y	1			11				B07M9DMTGZ						B07M9DMTGZ			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Tailwind Air Waterproof Men's Street Motorcycle Jackets - Black / 3X-Large		1006AX0L1LB	28204852		0	2023-10-06 06:52:23 PDT		y	1			11				B07M5N7NRG						B07M5N7NRG			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Tailwind Air Waterproof Motorcycle Jacket (Tech-Air Compatible), Red/Black, Medium		1006AWYH9VB	28204854		0	2023-10-06 06:52:23 PDT		y	1			11				B07MCZJR57						B07MCZJR57			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Tailwind Air Waterproof Motorcycle Jacket (Tech-Air Compatible), Red/Black, Large		1006AX00QL9	28204855		0	2023-10-06 06:52:23 PDT		y	1			11				B07MGL6SVP						B07MGL6SVP			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-Fuse Sport Shell Waterproof Men's Street Motorcycle Jackets - Anthracite/Medium		1006AX2DO4N	28204860		0	2023-10-06 06:52:23 PDT		y	1			11				B07M9DMLFS						B07M9DMLFS			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-Fuse Sport Shell Waterproof Men's Street Motorcycle Jackets - Anthracite/Large		1006AX3ERPQ	28204861		0	2023-10-06 06:52:23 PDT		y	1			11				B07MMWML55						B07MMWML55			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-Fuse Sport Shell Waterproof Men's Street Motorcycle Jackets - Anthracite/X-Large		1006AX2BU0I	28204862		0	2023-10-06 06:52:23 PDT		y	1			11				B07MK6FWHX						B07MK6FWHX			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-Fuse Sport Shell Waterproof Men's Street Motorcycle Jackets - Anthracite / 2X-Large		1006AX0IYMP	28204863		0	2023-10-06 06:52:23 PDT		y	1			11				B07MCZG62M						B07MCZG62M			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's T-Fuse Sport Shell Waterproof Motorcycle Jacket, Black/Red, Small		1006AX0GKQF	28204866		0	2023-10-06 06:52:23 PDT		y	1			11				B07MK6J98K						B07MK6J98K			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-Fuse Sport Shell Waterproof Men's Street Motorcycle Jackets - Black/Red Fluo/Large		1006AWYK474	28204868		0	2023-10-06 06:52:23 PDT		y	1			11				B07M5N74LP						B07M5N74LP			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-Fuse Sport Shell Waterproof Men's Street Motorcycle Jackets - Black/Red Fluo/X-Large		1006AWYIPOQ	28204869		0	2023-10-06 06:52:23 PDT		y	1			11				B07M9DN1DZ						B07M9DN1DZ			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's T-Fuse Sport Shell Waterproof Motorcycle Jacket, Black/Red, 2X-Large		1006AWYKVON	28204870		0	2023-10-06 06:52:23 PDT		y	1			11				B07MN2B77Z						B07MN2B77Z			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's T-GP R v2 Air Motorcycle Jacket, Black, Small		1006AXAKNP8	28204873		0	2023-10-06 08:20:28 PDT		y	1			11				B07MMYTHMP						B07MMYTHMP			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Air Men's Street Motorcycle Jackets - Black/Medium		1006AXCCYLE	28204874		0	2023-10-06 08:20:28 PDT		y	1			11				B07MN2B782						B07MN2B782			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Air Men's Street Motorcycle Jackets - Black/Large		1006AXALPAL	28204875		0	2023-10-06 08:20:28 PDT		y	1			11				B07M5N6DWP						B07M5N6DWP			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's T-GP R v2 Air Motorcycle Jacket, Black, 2X-Large		1006AX45771	28204877		0	2023-10-06 08:20:28 PDT		y	1			11				B07MCZJR56						B07MCZJR56			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's T-GP R v2 Air Motorcycle Jacket, Black/White/Red, Small		1006AXCD2I9	28204880		0	2023-10-06 08:20:28 PDT		y	1			11				B07M5N7RTZ						B07M5N7RTZ			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's T-GP R v2 Air Motorcycle Jacket, Black/White/Red, 2X-Large		1006AX9KS5A	28204884		0	2023-10-06 08:20:28 PDT		y	1			11				B07M9DM1KT						B07M9DM1KT			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Black, Small		1006AXB0W5B	28204887		0	2023-10-06 08:57:10 PDT		y	1			11				B07MN21BZX						B07MN21BZX			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Black, Medium		1006AXEZOAI	28204888		0	2023-10-06 08:57:10 PDT		y	1			11				B07MGKZJ28						B07MGKZJ28			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Black, Large		1006AXHVF89	28204889		0	2023-10-06 08:57:10 PDT		y	1			11				B07MCZHSR3						B07MCZHSR3			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Black, X-Large		1006AX7S09O	28204890		0	2023-10-06 08:57:10 PDT		y	1			11				B07MMZSKQB						B07MMZSKQB			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Black, 2X-Large		1006AXACFNV	28204891		0	2023-10-06 08:57:10 PDT		y	1			11				B07MN16NK7						B07MN16NK7			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Black, 3X-Large		1006AX7PW0K	28204892		0	2023-10-06 08:57:10 PDT		y	1			11				B07MCZFP3R						B07MCZFP3R			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Black, 4X-Large		1006AX7W2QR	28204893		0	2023-10-06 08:57:10 PDT		y	1			11				B07MMZ6KTH						B07MMZ6KTH			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Navy, Small		1006AX4DNVI	28204894		0	2023-10-06 08:57:10 PDT		y	1			11				B07MCZJHVM						B07MCZJHVM			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Navy, Medium		0929AEYQ9J4	28204895		0	2023-09-29 09:19:18 PDT		y	1			11				B07M9DMWYZ						B07M9DMWYZ			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Navy, Large		0929AEYMZU1	28204896		0	2023-09-29 09:19:18 PDT		y	1			11				B07MGL6WTL						B07MGL6WTL			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Navy, X-Large		0929AF4MD38	28204897		0	2023-09-29 09:19:18 PDT		y	1			11				B07MMVQ4BD						B07MMVQ4BD			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Navy, 2X-Large		0929AF4ITDW	28204898		0	2023-09-29 09:19:18 PDT		y	1			11				B07MK6HZWK						B07MK6HZWK			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Navy, 3X-Large		0929AF4L4XD	28204899		0	2023-09-29 09:19:18 PDT		y	1			11				B07M5N6LY5						B07M5N6LY5			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Domino TECH Casual Hoodie, Navy, 4X-Large		0929AF14QMO	28204900		0	2023-09-29 09:19:18 PDT		y	1			11				B07M9DMGZ3						B07M9DMGZ3			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Stratos V2 Drystar Men's Street Motorcycle Jacket - Black/Asphalt/Red/Medium		1006AWWI8OI	28204963		0	2023-10-06 06:52:23 PDT		y	1			11				B07V5KBZCG						B07V5KBZCG			0	DEFAULT	Migrated Template	Incomplete
